"","identity_name","two_or_one","identity_b_original","identity_b_copy","identity_b_neither","identity_b_both","living","persp"
"1","1_original","one",1,0,0,0,"alive","third"
"2","1_original","one",1,0,0,0,"alive","third"
"3","1_original","one",1,0,0,0,"alive","first"
"4","2_copy","one",0,1,0,0,"dead","first"
"5","2_copy","one",0,1,0,0,"dead","third"
"6","1_original","one",1,0,0,0,"alive","third"
"7","4_both","two",0,0,0,1,"dead","first"
"8","2_copy","one",0,1,0,0,"dead","first"
"9","4_both","two",0,0,0,1,"alive","third"
"11","1_original","one",1,0,0,0,"alive","third"
"12","4_both","two",0,0,0,1,"alive","first"
"13","1_original","one",1,0,0,0,"dead","third"
"15","4_both","two",0,0,0,1,"dead","first"
"16","1_original","one",1,0,0,0,"alive","third"
"17","1_original","one",1,0,0,0,"dead","third"
"18","4_both","two",0,0,0,1,"alive","first"
"19","1_original","one",1,0,0,0,"alive","first"
"20","2_copy","one",0,1,0,0,"dead","first"
"21","4_both","two",0,0,0,1,"dead","first"
"22","2_copy","one",0,1,0,0,"dead","first"
"23","1_original","one",1,0,0,0,"dead","third"
"24","4_both","two",0,0,0,1,"dead","first"
"25","3_neither","neither",0,0,1,0,"alive","third"
"26","3_neither","neither",0,0,1,0,"dead","third"
"27","1_original","one",1,0,0,0,"dead","third"
"29","2_copy","one",0,1,0,0,"alive","first"
"30","2_copy","one",0,1,0,0,"dead","third"
"31","2_copy","one",0,1,0,0,"dead","first"
"32","1_original","one",1,0,0,0,"alive","third"
"33","2_copy","one",0,1,0,0,"dead","first"
"34","1_original","one",1,0,0,0,"dead","first"
"35","1_original","one",1,0,0,0,"dead","first"
"36","4_both","two",0,0,0,1,"dead","first"
"37","1_original","one",1,0,0,0,"dead","first"
"38","1_original","one",1,0,0,0,"alive","third"
"39","1_original","one",1,0,0,0,"alive","third"
"40","2_copy","one",0,1,0,0,"alive","first"
"41","2_copy","one",0,1,0,0,"dead","first"
"42","1_original","one",1,0,0,0,"alive","first"
"43","1_original","one",1,0,0,0,"dead","third"
"44","1_original","one",1,0,0,0,"alive","third"
"45","1_original","one",1,0,0,0,"alive","first"
"46","1_original","one",1,0,0,0,"alive","third"
"47","4_both","two",0,0,0,1,"dead","first"
"48","1_original","one",1,0,0,0,"alive","first"
"49","1_original","one",1,0,0,0,"alive","third"
"50","1_original","one",1,0,0,0,"dead","third"
"51","1_original","one",1,0,0,0,"alive","third"
"53","4_both","two",0,0,0,1,"dead","first"
"54","1_original","one",1,0,0,0,"dead","first"
"55","1_original","one",1,0,0,0,"dead","third"
"56","2_copy","one",0,1,0,0,"dead","first"
"57","1_original","one",1,0,0,0,"dead","third"
"59","3_neither","neither",0,0,1,0,"alive","first"
"60","3_neither","neither",0,0,1,0,"dead","first"
"61","1_original","one",1,0,0,0,"alive","third"
"62","2_copy","one",0,1,0,0,"alive","third"
"63","2_copy","one",0,1,0,0,"dead","third"
"65","1_original","one",1,0,0,0,"dead","third"
"67","2_copy","one",0,1,0,0,"alive","first"
"68","1_original","one",1,0,0,0,"dead","third"
"69","4_both","two",0,0,0,1,"alive","first"
"71","3_neither","neither",0,0,1,0,"dead","first"
"72","1_original","one",1,0,0,0,"dead","third"
"74","4_both","two",0,0,0,1,"alive","first"
"75","1_original","one",1,0,0,0,"alive","third"
"76","1_original","one",1,0,0,0,"alive","third"
"77","1_original","one",1,0,0,0,"alive","third"
"78","4_both","two",0,0,0,1,"dead","first"
"79","1_original","one",1,0,0,0,"dead","third"
"80","1_original","one",1,0,0,0,"dead","third"
"81","1_original","one",1,0,0,0,"alive","first"
"82","3_neither","neither",0,0,1,0,"dead","first"
"83","1_original","one",1,0,0,0,"dead","third"
"84","4_both","two",0,0,0,1,"alive","first"
"85","4_both","two",0,0,0,1,"dead","first"
"86","1_original","one",1,0,0,0,"dead","third"
"87","2_copy","one",0,1,0,0,"dead","third"
"88","3_neither","neither",0,0,1,0,"alive","first"
"90","4_both","two",0,0,0,1,"dead","third"
"91","1_original","one",1,0,0,0,"alive","third"
"92","1_original","one",1,0,0,0,"alive","third"
"93","2_copy","one",0,1,0,0,"dead","first"
"94","4_both","two",0,0,0,1,"alive","first"
"95","4_both","two",0,0,0,1,"dead","third"
"97","1_original","one",1,0,0,0,"dead","first"
"98","2_copy","one",0,1,0,0,"dead","third"
"99","2_copy","one",0,1,0,0,"dead","third"
"100","2_copy","one",0,1,0,0,"dead","third"
"101","1_original","one",1,0,0,0,"alive","third"
"102","4_both","two",0,0,0,1,"alive","first"
"104","1_original","one",1,0,0,0,"dead","third"
"105","2_copy","one",0,1,0,0,"dead","first"
"106","1_original","one",1,0,0,0,"dead","third"
"107","1_original","one",1,0,0,0,"dead","third"
"108","1_original","one",1,0,0,0,"alive","third"
"109","1_original","one",1,0,0,0,"alive","third"
"110","1_original","one",1,0,0,0,"alive","first"
"111","2_copy","one",0,1,0,0,"alive","first"
"114","2_copy","one",0,1,0,0,"dead","first"
"115","2_copy","one",0,1,0,0,"alive","third"
"116","1_original","one",1,0,0,0,"dead","first"
"117","1_original","one",1,0,0,0,"alive","third"
"118","1_original","one",1,0,0,0,"alive","third"
"119","1_original","one",1,0,0,0,"dead","first"
"120","2_copy","one",0,1,0,0,"dead","third"
"121","3_neither","neither",0,0,1,0,"dead","third"
"122","1_original","one",1,0,0,0,"alive","third"
"123","1_original","one",1,0,0,0,"alive","third"
"124","4_both","two",0,0,0,1,"alive","first"
"125","1_original","one",1,0,0,0,"alive","third"
"126","1_original","one",1,0,0,0,"dead","third"
"127","1_original","one",1,0,0,0,"dead","third"
"128","1_original","one",1,0,0,0,"alive","first"
"129","1_original","one",1,0,0,0,"dead","third"
"130","1_original","one",1,0,0,0,"dead","third"
"131","1_original","one",1,0,0,0,"dead","third"
"132","1_original","one",1,0,0,0,"alive","third"
"133","1_original","one",1,0,0,0,"alive","third"
"134","1_original","one",1,0,0,0,"alive","third"
"135","1_original","one",1,0,0,0,"alive","third"
"136","1_original","one",1,0,0,0,"dead","third"
"137","1_original","one",1,0,0,0,"alive","first"
"138","2_copy","one",0,1,0,0,"dead","third"
"140","1_original","one",1,0,0,0,"alive","third"
"141","1_original","one",1,0,0,0,"dead","third"
"142","1_original","one",1,0,0,0,"dead","third"
"143","1_original","one",1,0,0,0,"dead","third"
"144","1_original","one",1,0,0,0,"alive","third"
"145","1_original","one",1,0,0,0,"alive","third"
"146","1_original","one",1,0,0,0,"dead","third"
"147","1_original","one",1,0,0,0,"alive","third"
"148","2_copy","one",0,1,0,0,"dead","first"
"149","1_original","one",1,0,0,0,"alive","third"
"151","1_original","one",1,0,0,0,"dead","first"
"152","4_both","two",0,0,0,1,"dead","first"
"153","1_original","one",1,0,0,0,"dead","first"
"154","1_original","one",1,0,0,0,"dead","third"
"155","1_original","one",1,0,0,0,"dead","first"
"156","1_original","one",1,0,0,0,"alive","third"
"157","2_copy","one",0,1,0,0,"dead","first"
"158","2_copy","one",0,1,0,0,"alive","first"
"159","1_original","one",1,0,0,0,"dead","first"
"160","1_original","one",1,0,0,0,"alive","third"
"161","4_both","two",0,0,0,1,"alive","first"
"163","1_original","one",1,0,0,0,"alive","third"
"164","4_both","two",0,0,0,1,"alive","first"
"165","4_both","two",0,0,0,1,"alive","first"
"166","4_both","two",0,0,0,1,"alive","first"
"167","2_copy","one",0,1,0,0,"dead","first"
"169","4_both","two",0,0,0,1,"alive","first"
"170","3_neither","neither",0,0,1,0,"dead","third"
"171","2_copy","one",0,1,0,0,"alive","first"
"172","1_original","one",1,0,0,0,"alive","third"
"173","4_both","two",0,0,0,1,"alive","third"
"174","1_original","one",1,0,0,0,"alive","first"
"175","2_copy","one",0,1,0,0,"dead","first"
"176","1_original","one",1,0,0,0,"dead","third"
"177","3_neither","neither",0,0,1,0,"dead","first"
"178","1_original","one",1,0,0,0,"alive","third"
"179","2_copy","one",0,1,0,0,"dead","third"
"180","1_original","one",1,0,0,0,"dead","first"
"181","1_original","one",1,0,0,0,"dead","first"
"182","3_neither","neither",0,0,1,0,"dead","third"
"183","2_copy","one",0,1,0,0,"dead","third"
"184","1_original","one",1,0,0,0,"alive","first"
"185","1_original","one",1,0,0,0,"alive","third"
"186","2_copy","one",0,1,0,0,"dead","first"
"187","2_copy","one",0,1,0,0,"alive","first"
"188","1_original","one",1,0,0,0,"dead","first"
"189","3_neither","neither",0,0,1,0,"dead","third"
"190","1_original","one",1,0,0,0,"dead","third"
"192","1_original","one",1,0,0,0,"dead","first"
"193","1_original","one",1,0,0,0,"alive","third"
"194","4_both","two",0,0,0,1,"alive","first"
"195","1_original","one",1,0,0,0,"dead","third"
"196","1_original","one",1,0,0,0,"alive","third"
"197","1_original","one",1,0,0,0,"dead","first"
"198","3_neither","neither",0,0,1,0,"dead","third"
"199","3_neither","neither",0,0,1,0,"alive","first"
"200","1_original","one",1,0,0,0,"alive","third"
"201","4_both","two",0,0,0,1,"alive","first"
"202","4_both","two",0,0,0,1,"dead","first"
"203","4_both","two",0,0,0,1,"alive","first"
"204","1_original","one",1,0,0,0,"dead","third"
"205","1_original","one",1,0,0,0,"alive","first"
"206","1_original","one",1,0,0,0,"dead","first"
"208","1_original","one",1,0,0,0,"alive","third"
"209","1_original","one",1,0,0,0,"dead","first"
"210","4_both","two",0,0,0,1,"alive","first"
"211","1_original","one",1,0,0,0,"dead","third"
"212","4_both","two",0,0,0,1,"alive","first"
"214","1_original","one",1,0,0,0,"alive","third"
"216","4_both","two",0,0,0,1,"alive","first"
"217","4_both","two",0,0,0,1,"dead","third"
"218","4_both","two",0,0,0,1,"dead","first"
"219","1_original","one",1,0,0,0,"alive","first"
"220","1_original","one",1,0,0,0,"dead","third"
"221","1_original","one",1,0,0,0,"dead","first"
"222","2_copy","one",0,1,0,0,"alive","first"
"223","1_original","one",1,0,0,0,"dead","third"
"224","1_original","one",1,0,0,0,"alive","third"
"225","1_original","one",1,0,0,0,"alive","third"
"226","4_both","two",0,0,0,1,"alive","first"
"228","1_original","one",1,0,0,0,"dead","third"
"229","2_copy","one",0,1,0,0,"alive","first"
"230","1_original","one",1,0,0,0,"dead","first"
"231","4_both","two",0,0,0,1,"dead","first"
"232","1_original","one",1,0,0,0,"alive","third"
"233","1_original","one",1,0,0,0,"alive","third"
"234","2_copy","one",0,1,0,0,"dead","first"
"235","1_original","one",1,0,0,0,"alive","third"
"236","4_both","two",0,0,0,1,"alive","third"
"237","2_copy","one",0,1,0,0,"dead","third"
"238","1_original","one",1,0,0,0,"alive","third"
"239","1_original","one",1,0,0,0,"dead","third"
"240","1_original","one",1,0,0,0,"alive","third"
"241","1_original","one",1,0,0,0,"dead","first"
"242","4_both","two",0,0,0,1,"dead","first"
"243","1_original","one",1,0,0,0,"dead","first"
"244","1_original","one",1,0,0,0,"alive","third"
"245","2_copy","one",0,1,0,0,"dead","first"
"246","1_original","one",1,0,0,0,"dead","third"
"248","1_original","one",1,0,0,0,"dead","third"
"249","1_original","one",1,0,0,0,"dead","third"
"250","1_original","one",1,0,0,0,"dead","first"
"251","1_original","one",1,0,0,0,"alive","third"
"252","4_both","two",0,0,0,1,"alive","first"
"253","2_copy","one",0,1,0,0,"dead","third"
"254","1_original","one",1,0,0,0,"alive","third"
"255","1_original","one",1,0,0,0,"alive","third"
"256","2_copy","one",0,1,0,0,"alive","first"
"258","1_original","one",1,0,0,0,"alive","third"
"259","4_both","two",0,0,0,1,"alive","first"
"260","4_both","two",0,0,0,1,"alive","first"
"261","1_original","one",1,0,0,0,"alive","third"
"262","1_original","one",1,0,0,0,"dead","third"
"263","2_copy","one",0,1,0,0,"dead","third"
"264","1_original","one",1,0,0,0,"alive","third"
"265","1_original","one",1,0,0,0,"dead","first"
"266","4_both","two",0,0,0,1,"dead","first"
"267","1_original","one",1,0,0,0,"dead","third"
"268","4_both","two",0,0,0,1,"alive","first"
