"","ss","cond_name","identity_name","two_or_one"
"1",1,"2_dead","4_both",0
"2",2,"2_dead","2_copy",0
"3",3,"2_dead","2_copy",0
"4",4,"2_dead","2_copy",0
"5",5,"2_dead","1_original",0
"6",6,"2_dead","1_original",0
"7",7,"2_dead","4_both",0
"8",8,"2_dead","2_copy",0
"9",9,"2_dead","4_both",0
"10",10,"2_dead","2_copy",0
"11",11,"2_dead","3_neither",0
"12",12,"2_dead","3_neither",0
"13",13,"2_dead","2_copy",0
"14",14,"2_dead","1_original",0
"15",15,"2_dead","1_original",0
"16",16,"2_dead","4_both",0
"17",17,"2_dead","2_copy",0
"18",18,"2_dead","2_copy",0
"19",19,"2_dead","2_copy",0
"20",20,"2_dead","1_original",0
"21",21,"2_dead","2_copy",0
"22",22,"2_dead","1_original",0
"23",23,"2_dead","4_both",0
"24",24,"2_dead","2_copy",0
"25",25,"2_dead","2_copy",0
"26",26,"2_dead","4_both",0
"27",27,"2_dead","4_both",0
"28",28,"2_dead","1_original",0
"29",29,"2_dead","1_original",0
"30",30,"2_dead","2_copy",0
"31",31,"2_dead","1_original",0
"32",32,"2_dead","1_original",0
"33",33,"2_dead","4_both",0
"34",34,"2_dead","2_copy",0
"35",35,"2_dead","2_copy",0
"36",36,"2_dead","1_original",0
"37",37,"2_dead","2_copy",0
"38",38,"2_dead","2_copy",0
"39",39,"2_dead","4_both",0
"40",40,"2_dead","2_copy",0
"41",41,"2_dead","2_copy",0
"42",42,"2_dead","2_copy",0
"43",43,"2_dead","1_original",0
"44",44,"2_dead","1_original",0
"45",45,"2_dead","4_both",0
"46",46,"2_dead","4_both",0
"47",47,"2_dead","2_copy",0
"48",48,"2_dead","1_original",0
"49",49,"2_dead","1_original",0
"50",50,"2_dead","1_original",0
"51",51,"2_dead","2_copy",0
"52",52,"2_dead","4_both",0
"53",53,"2_dead","4_both",0
"54",54,"2_dead","1_original",0
"55",55,"2_dead","2_copy",0
"56",56,"2_dead","2_copy",0
"57",57,"2_dead","1_original",0
"58",58,"2_dead","4_both",0
"59",59,"2_dead","1_original",0
"60",60,"2_dead","4_both",0
"61",61,"2_dead","2_copy",0
"62",62,"2_dead","2_copy",0
"63",63,"2_dead","4_both",0
"64",64,"2_dead","1_original",0
"65",65,"2_dead","4_both",0
"66",66,"2_dead","1_original",0
"67",67,"2_dead","4_both",0
"68",68,"2_dead","2_copy",0
"69",69,"2_dead","2_copy",0
"70",70,"2_dead","4_both",0
"71",71,"2_dead","4_both",0
"72",72,"2_dead","2_copy",0
"73",73,"2_dead","4_both",0
"74",74,"2_dead","1_original",0
"75",75,"2_dead","4_both",0
"76",76,"2_dead","4_both",0
"77",77,"2_dead","2_copy",0
"78",78,"2_dead","1_original",0
"79",79,"2_dead","4_both",0
"80",80,"2_dead","1_original",0
"81",81,"2_dead","4_both",0
"82",82,"2_dead","1_original",0
"83",83,"2_dead","2_copy",0
"84",84,"2_dead","2_copy",0
"85",85,"2_dead","1_original",0
"86",86,"2_dead","1_original",0
"87",87,"2_dead","2_copy",0
"88",88,"2_dead","3_neither",0
"89",89,"2_dead","1_original",0
"90",90,"2_dead","2_copy",0
"91",91,"2_dead","4_both",0
"92",92,"2_dead","2_copy",0
"93",93,"2_dead","2_copy",0
"94",94,"2_dead","1_original",0
"95",95,"2_dead","4_both",0
"96",96,"2_dead","4_both",0
"97",97,"2_dead","1_original",0
"98",98,"2_dead","2_copy",0
"99",99,"2_dead","2_copy",0
"100",100,"2_dead","4_both",0
"101",101,"2_dead","3_neither",0
"102",102,"2_dead","4_both",0
"103",103,"2_dead","2_copy",0
"104",104,"2_dead","2_copy",0
"105",105,"2_dead","2_copy",0
"106",106,"2_dead","1_original",0
"107",107,"2_dead","4_both",0
"108",108,"2_dead","4_both",0
"109",109,"2_dead","4_both",0
"110",110,"2_dead","2_copy",0
"111",111,"2_dead","1_original",0
"112",112,"2_dead","2_copy",0
"113",113,"2_dead","1_original",0
"114",114,"2_dead","1_original",0
"115",115,"2_dead","1_original",0
"116",116,"2_dead","1_original",0
"117",117,"2_dead","4_both",0
"118",118,"2_dead","1_original",0
"119",119,"2_dead","1_original",0
"120",120,"2_dead","4_both",0
"121",1,"1_revived","4_both",0
"122",2,"1_revived","2_copy",0
"123",3,"1_revived","4_both",0
"124",4,"1_revived","4_both",0
"125",5,"1_revived","1_original",0
"126",6,"1_revived","1_original",0
"127",7,"1_revived","1_original",0
"128",8,"1_revived","4_both",0
"129",9,"1_revived","4_both",0
"130",10,"1_revived","1_original",0
"131",11,"1_revived","1_original",0
"132",12,"1_revived","3_neither",0
"133",13,"1_revived","2_copy",0
"134",14,"1_revived","1_original",0
"135",15,"1_revived","1_original",0
"136",16,"1_revived","4_both",0
"137",17,"1_revived","2_copy",0
"138",18,"1_revived","2_copy",0
"139",19,"1_revived","4_both",0
"140",20,"1_revived","2_copy",0
"141",21,"1_revived","4_both",0
"142",22,"1_revived","1_original",0
"143",23,"1_revived","1_original",0
"144",24,"1_revived","2_copy",0
"145",25,"1_revived","4_both",0
"146",26,"1_revived","2_copy",0
"147",27,"1_revived","4_both",0
"148",28,"1_revived","1_original",0
"149",29,"1_revived","2_copy",0
"150",30,"1_revived","1_original",0
"151",31,"1_revived","1_original",0
"152",32,"1_revived","1_original",0
"153",33,"1_revived","1_original",0
"154",34,"1_revived","2_copy",0
"155",35,"1_revived","4_both",0
"156",36,"1_revived","1_original",0
"157",37,"1_revived","1_original",0
"158",38,"1_revived","1_original",0
"159",39,"1_revived","2_copy",0
"160",40,"1_revived","1_original",0
"161",41,"1_revived","4_both",0
"162",42,"1_revived","4_both",0
"163",43,"1_revived","1_original",0
"164",44,"1_revived","1_original",0
"165",45,"1_revived","4_both",0
"166",46,"1_revived","1_original",0
"167",47,"1_revived","2_copy",0
"168",48,"1_revived","1_original",0
"169",49,"1_revived","1_original",0
"170",50,"1_revived","1_original",0
"171",51,"1_revived","2_copy",0
"172",52,"1_revived","4_both",0
"173",53,"1_revived","1_original",0
"174",54,"1_revived","1_original",0
"175",55,"1_revived","1_original",0
"176",56,"1_revived","2_copy",0
"177",57,"1_revived","1_original",0
"178",58,"1_revived","1_original",0
"179",59,"1_revived","1_original",0
"180",60,"1_revived","4_both",0
"181",61,"1_revived","4_both",0
"182",62,"1_revived","2_copy",0
"183",63,"1_revived","2_copy",0
"184",64,"1_revived","1_original",0
"185",65,"1_revived","4_both",0
"186",66,"1_revived","1_original",0
"187",67,"1_revived","4_both",0
"188",68,"1_revived","2_copy",0
"189",69,"1_revived","2_copy",0
"190",70,"1_revived","4_both",0
"191",71,"1_revived","2_copy",0
"192",72,"1_revived","2_copy",0
"193",73,"1_revived","4_both",0
"194",74,"1_revived","1_original",0
"195",75,"1_revived","4_both",0
"196",76,"1_revived","4_both",0
"197",77,"1_revived","1_original",0
"198",78,"1_revived","1_original",0
"199",79,"1_revived","1_original",0
"200",80,"1_revived","1_original",0
"201",81,"1_revived","1_original",0
"202",82,"1_revived","2_copy",0
"203",83,"1_revived","2_copy",0
"204",84,"1_revived","4_both",0
"205",85,"1_revived","1_original",0
"206",86,"1_revived","1_original",0
"207",87,"1_revived","4_both",0
"208",88,"1_revived","1_original",0
"209",89,"1_revived","1_original",0
"210",90,"1_revived","2_copy",0
"211",91,"1_revived","2_copy",0
"212",92,"1_revived","4_both",0
"213",93,"1_revived","4_both",0
"214",94,"1_revived","1_original",0
"215",95,"1_revived","4_both",0
"216",96,"1_revived","2_copy",0
"217",97,"1_revived","1_original",0
"218",98,"1_revived","4_both",0
"219",99,"1_revived","4_both",0
"220",100,"1_revived","2_copy",0
"221",101,"1_revived","2_copy",0
"222",102,"1_revived","1_original",0
"223",103,"1_revived","2_copy",0
"224",104,"1_revived","4_both",0
"225",105,"1_revived","2_copy",0
"226",106,"1_revived","1_original",0
"227",107,"1_revived","1_original",0
"228",108,"1_revived","2_copy",0
"229",109,"1_revived","3_neither",0
"230",110,"1_revived","4_both",0
"231",111,"1_revived","1_original",0
"232",112,"1_revived","2_copy",0
"233",113,"1_revived","1_original",0
"234",114,"1_revived","1_original",0
"235",115,"1_revived","1_original",0
"236",116,"1_revived","1_original",0
"237",117,"1_revived","1_original",0
"238",118,"1_revived","1_original",0
"239",119,"1_revived","1_original",0
"240",120,"1_revived","2_copy",0
