StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent_q,attn_1,attn_2,dv_identity,dv_entitlement,comp_q,gender,gender_4_TEXT,ethnicity,ethnicity_6_TEXT,age,education,education_8_TEXT,Q30,Q31,RandomID,cond,FL_8_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Do you consent?,This is an attention check. John is taller than Paul. Who is shorter?,"What color is grass?

The fresh, uncut grass, not leaves or hay. Please make sure to select purple, so that we know you're paying attention.","At the end of the story, who is Derek?","At the end of the story, who can get into bed with Derek's wife?","In the story, you considered a scenario involving:",What is your gender? - Selected Choice,What is your gender? - Other (please specify) - Text,What is your ethnicity? - Selected Choice,What is your ethnicity? - Other (please specify) - Text,What is your age (in years)?,Please indicate the highest level of education completed. - Selected Choice,Please indicate the highest level of education completed. - Other (please specify) - Text,Please enter your mTurk worker ID:,This is your unique code: [Field-RandomID],RandomID,cond,FL_8 - Block Randomizer - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID5""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID17""}","{""ImportId"":""QID29""}","{""ImportId"":""QID18""}","{""ImportId"":""QID22""}","{""ImportId"":""QID22_4_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""QID23_6_TEXT""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID25_8_TEXT""}","{""ImportId"":""QID30_TEXT""}","{""ImportId"":""QID31_TEXT""}","{""ImportId"":""RandomID""}","{""ImportId"":""cond""}","{""ImportId"":""FL_8_DO""}"
5/22/24 12:41,5/22/24 12:43,IP Address,160.3.167.55,100,105,TRUE,5/22/24 12:43,R_66nOC4Nphzzwr29,,,,,34.6011,-112.3259,anonymous,EN,Yes,Paul,Purple,Both persons.,,Teletransportation,Male,,White or European,,33,College Graduate (4 year),,AETIZKQNUSBLB,,789867,1,FL_10
5/22/24 13:11,5/22/24 13:13,IP Address,24.9.223.251,100,103,TRUE,5/22/24 13:13,R_1YETTxYGqADa8mM,,,,,39.7291,-105.1897,anonymous,EN,Yes,Paul,Purple,,I am not sure.,Teletransportation,Female,,White or European,,62,College Graduate (4 year),,AURYD2FH3FUOQ,80610,80610,2,FL_11
5/22/24 13:03,5/22/24 13:19,IP Address,100.12.205.132,100,904,TRUE,5/22/24 13:19,R_7QaBmyRLLZwDW4V,,,,,40.7364,-73.8695,anonymous,EN,Yes,Paul,Purple,Both persons.,,Teletransportation,Female,,Asian,,24,"Professional Degree (MD, JD, etc.)",,AKSJ3C5O3V9RB,409667,409667,1,FL_10
5/22/24 13:16,5/22/24 13:19,IP Address,69.142.231.205,100,172,TRUE,5/22/24 13:19,R_5qvH3BBz9fU1gbm,,,,,39.4722,-74.4566,anonymous,EN,Yes,Paul,Purple,,Both persons.,Teletransportation,Male,,White or European,,28,College Graduate (4 year),,A3UV55HC87DO9C,286985,286985,2,FL_11
5/22/24 13:27,5/22/24 13:29,IP Address,65.175.203.94,100,165,TRUE,5/22/24 13:29,R_5R9t3a1OHEA1eme,,,,,43.2197,-71.3589,anonymous,EN,Yes,Paul,Purple,,I am not sure.,Teletransportation,Male,,White or European,,47,High School or Equivalent,,A2EI075XZT9Y2S,307422,307422,2,FL_11
5/22/24 13:42,5/22/24 13:44,IP Address,47.208.114.67,100,115,TRUE,5/22/24 13:44,R_5nc8sJ9YFVXU49Q,,,,,40.7977,-124.1565,anonymous,EN,Yes,Paul,Purple,Both persons.,,Teletransportation,Male,,White or European,,42,College Graduate (4 year),,AVPKE76DJLWK6,258241,258241,1,FL_10
5/22/24 13:44,5/22/24 13:47,IP Address,107.150.22.38,100,139,TRUE,5/22/24 13:47,R_7cAsi8iyveYAt8i,,,,,33.7485,-84.3871,anonymous,EN,Yes,Paul,Purple,,I am not sure.,Teletransportation,Male,,White or European,,37,High School or Equivalent,,A2IUT0610X9CV0,468261,468261,2,FL_11
5/22/24 13:52,5/22/24 13:54,IP Address,50.20.125.153,100,93,TRUE,5/22/24 13:54,R_5NWhCXsqAp9ULIr,,,,,36.2625,-115.1732,anonymous,EN,Yes,Paul,Purple,Both persons.,,Teletransportation,Male,,Hispanic or Latino,,36,Some College,,A3GK90X2QOFR53,164504,164504,1,FL_10
