StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent_q,attn_1,attn_2,basic_identity_1,q_instruction_First Click,q_instruction_Last Click,q_instruction_Page Submit,q_instruction_Click Count,q_see,q_hear,q_smell,simultaneous_or_flip,first_identity_1,comp_q,gender,gender_4_TEXT,ethnicity,ethnicity_6_TEXT,age,education,education_8_TEXT,Q30,Q31,RandomID,cond
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Do you consent?,This is an attention check. John is taller than Paul. Who is shorter?,"What color is grass?

The fresh, uncut grass, not leaves or hay. Please make sure to select purple, so that we know you're paying attention.","Please rate the extent to which you agree with the following statement: 

At the end of the story, I exist at both houses at the same time. - 1",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Now, while continuing to imagine yourself in both houses simultaneously, please write down what you see.","Now, while continuing to imagine yourself in both houses simultaneously, please write down what you hear.","Now, while continuing to imagine yourself in both houses simultaneously, please write down what you smell.","Now, please reflect on your response.

Which of the following images best captures what you were able to imagine?","Now, please rate the extent to which you agree with the following statement: 

At the end of the story, I exist at both houses at the same time. - 1","In the story, you considered a scenario involving:",What is your gender? - Selected Choice,What is your gender? - Other (please specify) - Text,What is your ethnicity? - Selected Choice,What is your ethnicity? - Other (please specify) - Text,What is your age (in years)?,Please indicate the highest level of education completed. - Selected Choice,Please indicate the highest level of education completed. - Other (please specify) - Text,Please enter your mTurk worker ID:,This is your unique code: [Field-RandomID],RandomID,cond
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID5""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID48_1""}","{""ImportId"":""QID29_FIRST_CLICK""}","{""ImportId"":""QID29_LAST_CLICK""}","{""ImportId"":""QID29_PAGE_SUBMIT""}","{""ImportId"":""QID29_CLICK_COUNT""}","{""ImportId"":""QID41_TEXT""}","{""ImportId"":""QID51_TEXT""}","{""ImportId"":""QID52_TEXT""}","{""ImportId"":""QID45""}","{""ImportId"":""QID50_1""}","{""ImportId"":""QID18""}","{""ImportId"":""QID22""}","{""ImportId"":""QID22_4_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""QID23_6_TEXT""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID25_8_TEXT""}","{""ImportId"":""QID30_TEXT""}","{""ImportId"":""QID31_TEXT""}","{""ImportId"":""RandomID""}","{""ImportId"":""cond""}"
2024-06-27 08:01:39,2024-06-27 08:02:14,Survey Preview,,100,35,True,2024-06-27 08:02:14,R_1hlFDkrNXn9uANz,,,,,42.3737,-71.1284,preview,EN,Yes,Paul,Purple,80,,,,,,,,,,Teletransportation,Male,,White or European,,23,Vocational/Technical School (2 year),,,,216393,1
2024-06-27 08:02:22,2024-06-27 08:06:55,Survey Preview,,100,273,True,2024-06-27 08:06:56,R_16n6ekIkI6T7MKR,,,,,42.3737,-71.1284,preview,EN,Yes,Paul,Purple,,0,0,125.576,0,asd iajs d;laksdj alskdj ;asldkj ;alsdkj ;alsdkj;laskd,ljasdlkaj sd;l kajsd;lk ajsd;lk jasd;l kjasd;l kjasd;lk jas;dl,a;lsdkj laksdj ;laskdj; laksjd; laksjd ;laksdj ;laksdjlaskjd;lk,"Single consciousness, flipping",81,Teletransportation,Female,,Black or African American,,23,Masters Degree (MS),,,,451555,2
2024-06-27 16:18:12,2024-06-27 16:18:47,IP Address,209.114.8.66,100,34,True,2024-06-27 16:18:47,R_3VItS2Pbidk49WF,,,,,37.751,-97.822,anonymous,EN,Yes,Paul,Green,,,,,,,,,,,,,,,,,,,,,47140,
2024-06-27 16:19:18,2024-06-27 16:19:45,IP Address,209.114.8.66,100,26,True,2024-06-27 16:19:46,R_5TsXgpdizuFdZXM,,,,,37.751,-97.822,anonymous,EN,Yes,Both John and Paul,Purple,,,,,,,,,,,,,,,,,,,,,907872,
2024-06-27 16:20:57,2024-06-27 16:22:07,IP Address,192.126.181.21,100,70,True,2024-06-27 16:22:07,R_7WZFQRRX15BBKa9,,,,,47.63,-122.2972,anonymous,EN,Yes,Both John and Paul,Purple,,,,,,,,,,,,,,,,,,,,,530992,
2024-06-27 16:20:03,2024-06-27 16:22:54,IP Address,209.114.8.66,100,171,True,2024-06-27 16:22:54,R_3ErIc6cXFeyQeZj,,,,,37.751,-97.822,anonymous,EN,Yes,Paul,Purple,60,,,,,,,,,,Plane travel,Male,,White or European,,30,Masters Degree (MS),,ARBX6T996R37V," 702192",702192,1
2024-06-27 16:22:19,2024-06-27 16:23:39,IP Address,192.126.181.21,100,79,True,2024-06-27 16:23:39,R_39g4ABDx79CW2bL,,,,,47.63,-122.2972,anonymous,EN,Yes,Paul,Purple,62,,,,,,,,,,Farming,Male,,White or European,,30,High School or Equivalent,,AOYDXG757ZZS0,108981,108981,1
2024-06-27 16:22:00,2024-06-27 16:25:29,IP Address,147.124.221.126,100,208,True,2024-06-27 16:25:29,R_7hwz2laJZ3cW6lj,,,,,32.7797,-96.8022,anonymous,EN,Yes,Paul,Purple,,0,0,62.852,0,"The more I got to know her, the more attracted I was to her.” Loretta says that when they weren't together they were always messaging each","Another difference is who they represent. Senators represent their entire states, but members of the House represent individual districts. The number of districts in each state is determined by a state's population. Each state has a minimum of one representative in Congress.","These scents make a person feel when they smell it. Examples include blue cheese, cigar smoke, fecal matter (e.g., manure), sweat, and sometimes, smells of onion and garlic.","Single consciousness, simultaneous",78,Plane travel,Male,,White or European,,36,Masters Degree (MS),,A1KA8C9SKM6924,927884,927884,2
